,LogTime,Epc,Rssi,Reader,Ant,TimeStamp,EmitPower,Frequency,Latency
0,2019-11-07-19:00:26,epc_191,-57,2xj6BqqmmTkptv2KxA,4,1573153226368,23.0,865700,182
1,2019-11-07-19:00:26,epc_190,-62,2xj6BqqmmTkptv2KxA,4,1573153226368,23.0,865700,182
2,2019-11-07-19:00:26,epc_189,-57,2xj6BqqmmTkptv2KxA,4,1573153226368,23.0,865700,182
3,2019-11-07-19:00:26,epc_187,-63,2xj6BqqmmTkptv2KxA,4,1573153226368,23.0,865700,182
4,2019-11-07-19:00:26,epc_186,-62,2xj6BqqmmTkptv2KxA,4,1573153226469,23.0,865700,81
5,2019-11-07-19:00:26,epc_151,-60,2xj6BqqmmTkptv2KxA,1,1573153226469,23.0,866900,81
6,2019-11-07-19:00:26,epc_161,-56,2xj6BqqmmTkptv2KxA,1,1573153226469,23.0,866900,81
7,2019-11-07-19:00:26,epc_176,-64,2xj6BqqmmTkptv2KxA,1,1573153226469,23.0,866900,81
8,2019-11-07-19:00:26,epc_175,-63,2xj6BqqmmTkptv2KxA,1,1573153226469,23.0,866900,81
9,2019-11-07-19:00:26,epc_174,-72,2xj6BqqmmTkptv2KxA,1,1573153226469,23.0,866900,81
10,2019-11-07-19:00:26,epc_156,-60,2xj6BqqmmTkptv2KxA,1,1573153226509,23.0,866900,41
11,2019-11-07-19:00:26,epc_164,-69,2xj6BqqmmTkptv2KxA,1,1573153226509,23.0,866900,41
12,2019-11-07-19:00:26,epc_171,-61,2xj6BqqmmTkptv2KxA,1,1573153226509,23.0,866900,41
13,2019-11-07-19:00:26,epc_162,-51,2xj6BqqmmTkptv2KxA,1,1573153226509,23.0,866900,41
14,2019-11-07-19:00:26,epc_160,-62,2xj6BqqmmTkptv2KxA,1,1573153226509,23.0,866900,41
15,2019-11-07-19:00:26,epc_165,-70,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
16,2019-11-07-19:00:26,epc_156,-65,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
17,2019-11-07-19:00:26,epc_160,-68,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
18,2019-11-07-19:00:26,epc_157,-63,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
19,2019-11-07-19:00:26,epc_175,-62,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
20,2019-11-07-19:00:26,epc_177,-61,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
21,2019-11-07-19:00:26,epc_153,-67,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
22,2019-11-07-19:00:26,epc_171,-58,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
23,2019-11-07-19:00:26,epc_179,-62,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
24,2019-11-07-19:00:26,epc_152,-62,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
25,2019-11-07-19:00:26,epc_181,-61,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
26,2019-11-07-19:00:26,epc_148,-63,2xj6BqqmmTkptv2KxA,1,1573153226569,23.0,866300,181
