,LogTime,Epc,Rssi,Reader,Ant,TimeStamp,EmitPower,Frequency,Latency
0,2019-11-07-18:21:44,epc_1,-58,2xj6BqqmmTkptv2KxA,1,1573150904769,23.0,866300,181
1,2019-11-07-18:21:44,epc_10,-61,2xj6BqqmmTkptv2KxA,1,1573150904769,23.0,866300,181
2,2019-11-07-18:21:44,epc_5,-50,2xj6BqqmmTkptv2KxA,1,1573150904769,23.0,866300,181
3,2019-11-07-18:21:44,epc_21,-55,2xj6BqqmmTkptv2KxA,1,1573150904769,23.0,866300,181
4,2019-11-07-18:21:44,epc_15,-56,2xj6BqqmmTkptv2KxA,1,1573150904769,23.0,866300,181
5,2019-11-07-18:21:44,epc_35,-49,2xj6BqqmmTkptv2KxA,1,1573150904769,23.0,866300,181
6,2019-11-07-18:21:44,epc_3,-52,2xj6BqqmmTkptv2KxA,1,1573150904769,23.0,866300,181
7,2019-11-07-18:21:44,epc_11,-60,2xj6BqqmmTkptv2KxA,1,1573150904769,23.0,866300,181
8,2019-11-07-18:21:44,epc_8,-59,2xj6BqqmmTkptv2KxA,1,1573150904769,23.0,866300,181
9,2019-11-07-18:21:44,epc_2,-53,2xj6BqqmmTkptv2KxA,1,1573150904769,23.0,866300,181
10,2019-11-07-18:21:44,epc_38,-69,2xj6BqqmmTkptv2KxA,3,1573150904769,23.0,865700,181
11,2019-11-07-18:21:44,epc_80,-66,2xj6BqqmmTkptv2KxA,3,1573150904769,23.0,865700,181
13,2019-11-07-18:21:44,epc_72,-66,2xj6BqqmmTkptv2KxA,3,1573150904769,23.0,865700,181
14,2019-11-07-18:21:44,epc_15,-61,2xj6BqqmmTkptv2KxA,3,1573150904769,23.0,865700,181
16,2019-11-07-18:21:44,epc_82,-68,2xj6BqqmmTkptv2KxA,3,1573150904769,23.0,865700,181
17,2019-11-07-18:21:44,epc_84,-65,2xj6BqqmmTkptv2KxA,3,1573150904769,23.0,865700,181
18,2019-11-07-18:21:44,epc_89,-61,2xj6BqqmmTkptv2KxA,3,1573150904769,23.0,865700,181
19,2019-11-07-18:21:44,epc_29,-66,2xj6BqqmmTkptv2KxA,3,1573150904769,23.0,865700,181
20,2019-11-07-18:21:44,epc_88,-62,2xj6BqqmmTkptv2KxA,3,1573150904769,23.0,865700,181
21,2019-11-07-18:21:44,epc_25,-59,2xj6BqqmmTkptv2KxA,3,1573150904787,23.0,865700,163
22,2019-11-07-18:21:44,epc_1,-70,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
23,2019-11-07-18:21:44,epc_20,-51,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
24,2019-11-07-18:21:44,epc_39,-62,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
25,2019-11-07-18:21:44,epc_11,-62,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
26,2019-11-07-18:21:44,epc_25,-57,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
27,2019-11-07-18:21:44,epc_2,-45,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
28,2019-11-07-18:21:44,epc_5,-54,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
29,2019-11-07-18:21:44,epc_31,-49,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
30,2019-11-07-18:21:44,epc_24,-58,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
31,2019-11-07-18:21:44,epc_23,-56,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
32,2019-11-07-18:21:44,epc_28,-57,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
33,2019-11-07-18:21:44,epc_34,-61,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
34,2019-11-07-18:21:44,epc_30,-51,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
35,2019-11-07-18:21:44,epc_18,-60,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
36,2019-11-07-18:21:44,epc_29,-59,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
37,2019-11-07-18:21:44,epc_16,-52,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
38,2019-11-07-18:21:44,epc_21,-55,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
39,2019-11-07-18:21:44,epc_35,-59,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
40,2019-11-07-18:21:44,epc_22,-59,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
41,2019-11-07-18:21:44,epc_15,-58,2xj6BqqmmTkptv2KxA,1,1573150904869,23.0,867500,81
42,2019-11-07-18:21:45,epc_25,-53,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
43,2019-11-07-18:21:45,epc_16,-47,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
44,2019-11-07-18:21:45,epc_37,-68,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
45,2019-11-07-18:21:45,epc_22,-45,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
46,2019-11-07-18:21:45,epc_7,-56,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
47,2019-11-07-18:21:45,epc_19,-48,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
48,2019-11-07-18:21:45,epc_20,-61,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
49,2019-11-07-18:21:45,epc_10,-60,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
50,2019-11-07-18:21:45,epc_27,-71,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
51,2019-11-07-18:21:45,epc_26,-65,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
52,2019-11-07-18:21:45,epc_17,-49,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
53,2019-11-07-18:21:45,epc_4,-54,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
54,2019-11-07-18:21:45,epc_5,-58,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
55,2019-11-07-18:21:45,epc_24,-59,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
56,2019-11-07-18:21:45,epc_14,-66,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
57,2019-11-07-18:21:45,epc_30,-49,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
58,2019-11-07-18:21:45,epc_21,-53,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
59,2019-11-07-18:21:45,epc_2,-49,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
60,2019-11-07-18:21:45,epc_23,-56,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
61,2019-11-07-18:21:45,epc_1,-44,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
62,2019-11-07-18:21:45,epc_32,-57,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
63,2019-11-07-18:21:45,epc_29,-60,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
64,2019-11-07-18:21:45,epc_35,-54,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
65,2019-11-07-18:21:45,epc_28,-64,2xj6BqqmmTkptv2KxA,1,1573150904970,23.0,866900,180
67,2019-11-07-18:21:45,epc_73,-70,2xj6BqqmmTkptv2KxA,4,1573150905087,23.0,866300,63
68,2019-11-07-18:21:45,epc_10,-67,2xj6BqqmmTkptv2KxA,4,1573150905087,23.0,866300,63
69,2019-11-07-18:21:45,epc_40,-72,2xj6BqqmmTkptv2KxA,4,1573150905087,23.0,866300,63
70,2019-11-07-18:21:45,epc_76,-67,2xj6BqqmmTkptv2KxA,4,1573150905087,23.0,866300,63
72,2019-11-07-18:21:45,epc_30,-65,2xj6BqqmmTkptv2KxA,4,1573150905087,23.0,866300,63
74,2019-11-07-18:21:45,epc_57,-68,2xj6BqqmmTkptv2KxA,4,1573150905087,23.0,866300,63
75,2019-11-07-18:21:45,epc_19,-54,2xj6BqqmmTkptv2KxA,1,1573150905088,23.0,867500,62
76,2019-11-07-18:21:45,epc_3,-46,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
77,2019-11-07-18:21:45,epc_31,-42,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
78,2019-11-07-18:21:45,epc_27,-62,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
79,2019-11-07-18:21:45,epc_25,-48,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
80,2019-11-07-18:21:45,epc_17,-57,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
81,2019-11-07-18:21:45,epc_1,-46,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
82,2019-11-07-18:21:45,epc_22,-56,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
83,2019-11-07-18:21:45,epc_30,-51,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
84,2019-11-07-18:21:45,epc_18,-51,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
85,2019-11-07-18:21:45,epc_28,-63,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
86,2019-11-07-18:21:45,epc_16,-57,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
87,2019-11-07-18:21:45,epc_11,-59,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
88,2019-11-07-18:21:45,epc_6,-45,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
89,2019-11-07-18:21:45,epc_0,-61,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
90,2019-11-07-18:21:45,epc_7,-53,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
91,2019-11-07-18:21:45,epc_10,-44,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
92,2019-11-07-18:21:45,epc_38,-64,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
93,2019-11-07-18:21:45,epc_14,-64,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
94,2019-11-07-18:21:45,epc_35,-63,2xj6BqqmmTkptv2KxA,1,1573150905189,23.0,867500,161
95,2019-11-07-18:21:45,epc_38,-56,2xj6BqqmmTkptv2KxA,1,1573150905190,23.0,866900,160
96,2019-11-07-18:21:45,epc_27,-58,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
97,2019-11-07-18:21:45,epc_11,-59,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
98,2019-11-07-18:21:45,epc_23,-60,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
99,2019-11-07-18:21:45,epc_6,-46,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
100,2019-11-07-18:21:45,epc_3,-53,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
101,2019-11-07-18:21:45,epc_18,-44,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
102,2019-11-07-18:21:45,epc_30,-57,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
103,2019-11-07-18:21:45,epc_1,-56,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
104,2019-11-07-18:21:45,epc_7,-63,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
105,2019-11-07-18:21:45,epc_8,-57,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
106,2019-11-07-18:21:45,epc_4,-62,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
107,2019-11-07-18:21:45,epc_35,-49,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
108,2019-11-07-18:21:45,epc_22,-53,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
109,2019-11-07-18:21:45,epc_13,-67,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
110,2019-11-07-18:21:45,epc_15,-55,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
111,2019-11-07-18:21:45,epc_19,-58,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
112,2019-11-07-18:21:45,epc_16,-52,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
113,2019-11-07-18:21:45,epc_21,-55,2xj6BqqmmTkptv2KxA,1,1573150905308,23.0,866900,42
114,2019-11-07-18:21:45,epc_29,-66,2xj6BqqmmTkptv2KxA,3,1573150905308,23.0,866300,42
115,2019-11-07-18:21:45,epc_89,-62,2xj6BqqmmTkptv2KxA,3,1573150905308,23.0,866300,42
116,2019-11-07-18:21:45,epc_82,-67,2xj6BqqmmTkptv2KxA,3,1573150905309,23.0,866300,41
117,2019-11-07-18:21:45,epc_38,-70,2xj6BqqmmTkptv2KxA,3,1573150905309,23.0,866300,41
118,2019-11-07-18:21:45,epc_52,-69,2xj6BqqmmTkptv2KxA,3,1573150905309,23.0,866300,41
119,2019-11-07-18:21:45,epc_72,-66,2xj6BqqmmTkptv2KxA,3,1573150905309,23.0,866300,41
120,2019-11-07-18:21:45,epc_25,-59,2xj6BqqmmTkptv2KxA,3,1573150905348,23.0,866300,2
121,2019-11-07-18:21:45,epc_88,-62,2xj6BqqmmTkptv2KxA,3,1573150905348,23.0,866300,2
122,2019-11-07-18:21:45,epc_30,-64,2xj6BqqmmTkptv2KxA,3,1573150905348,23.0,866300,2
123,2019-11-07-18:21:45,epc_87,-67,2xj6BqqmmTkptv2KxA,3,1573150905348,23.0,866300,2
124,2019-11-07-18:21:45,epc_80,-66,2xj6BqqmmTkptv2KxA,3,1573150905348,23.0,866300,2
125,2019-11-07-18:21:45,epc_13,-63,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
126,2019-11-07-18:21:45,epc_16,-51,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
127,2019-11-07-18:21:45,epc_37,-59,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
128,2019-11-07-18:21:45,epc_31,-50,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
129,2019-11-07-18:21:45,epc_2,-44,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
130,2019-11-07-18:21:45,epc_33,-63,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
131,2019-11-07-18:21:45,epc_29,-58,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
132,2019-11-07-18:21:45,epc_3,-53,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
133,2019-11-07-18:21:45,epc_11,-61,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
134,2019-11-07-18:21:45,epc_20,-50,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
135,2019-11-07-18:21:45,epc_35,-59,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
136,2019-11-07-18:21:45,epc_28,-58,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
137,2019-11-07-18:21:45,epc_25,-55,2xj6BqqmmTkptv2KxA,1,1573150905411,23.0,865700,139
138,2019-11-07-18:21:45,epc_23,-54,2xj6BqqmmTkptv2KxA,1,1573150905509,23.0,865700,41
139,2019-11-07-18:21:45,epc_18,-58,2xj6BqqmmTkptv2KxA,1,1573150905509,23.0,865700,41
140,2019-11-07-18:21:45,epc_0,-56,2xj6BqqmmTkptv2KxA,1,1573150905509,23.0,865700,41
141,2019-11-07-18:21:45,epc_34,-60,2xj6BqqmmTkptv2KxA,1,1573150905509,23.0,865700,41
142,2019-11-07-18:21:45,epc_10,-60,2xj6BqqmmTkptv2KxA,1,1573150905509,23.0,865700,41
143,2019-11-07-18:21:45,epc_33,-56,2xj6BqqmmTkptv2KxA,1,1573150905509,23.0,867500,41
144,2019-11-07-18:21:45,epc_31,-51,2xj6BqqmmTkptv2KxA,1,1573150905509,23.0,867500,41
145,2019-11-07-18:21:45,epc_5,-58,2xj6BqqmmTkptv2KxA,1,1573150905510,23.0,867500,40
