,LogTime,Epc,Rssi,Reader,Ant,TimeStamp,EmitPower,Frequency,Latency
0,2019-11-07-16:29:46,epc_14,-48,2xj6BqqmmTkptv2KxA,4,1573144186645,23.0,866300,107
1,2019-11-07-16:29:46,epc_21,-46,2xj6BqqmmTkptv2KxA,4,1573144186645,23.0,866300,107
2,2019-11-07-16:29:46,epc_22,-54,2xj6BqqmmTkptv2KxA,4,1573144186645,23.0,866300,107
3,2019-11-07-16:29:46,epc_34,-47,2xj6BqqmmTkptv2KxA,4,1573144186645,23.0,866300,107
4,2019-11-07-16:29:46,epc_36,-59,2xj6BqqmmTkptv2KxA,4,1573144186645,23.0,866300,108
5,2019-11-07-16:29:46,epc_18,-46,2xj6BqqmmTkptv2KxA,4,1573144186645,23.0,866300,108
6,2019-11-07-16:29:46,epc_19,-53,2xj6BqqmmTkptv2KxA,4,1573144186645,23.0,866300,108
7,2019-11-07-16:29:46,epc_15,-54,2xj6BqqmmTkptv2KxA,4,1573144186645,23.0,866300,108
8,2019-11-07-16:29:46,epc_11,-48,2xj6BqqmmTkptv2KxA,4,1573144186645,23.0,866300,108
9,2019-11-07-16:29:46,epc_1,-45,2xj6BqqmmTkptv2KxA,4,1573144186645,23.0,866300,108
10,2019-11-07-16:29:46,epc_25,-68,2xj6BqqmmTkptv2KxA,1,1573144186666,23.0,867500,87
13,2019-11-07-16:29:46,epc_1,-63,2xj6BqqmmTkptv2KxA,1,1573144186768,23.0,867500,182
14,2019-11-07-16:29:46,epc_31,-63,2xj6BqqmmTkptv2KxA,1,1573144186768,23.0,867500,182
15,2019-11-07-16:29:46,epc_8,-72,2xj6BqqmmTkptv2KxA,1,1573144186768,23.0,867500,182
18,2019-11-07-16:29:46,epc_19,-69,2xj6BqqmmTkptv2KxA,1,1573144186768,23.0,867500,182
19,2019-11-07-16:29:46,epc_17,-71,2xj6BqqmmTkptv2KxA,1,1573144186768,23.0,867500,182
20,2019-11-07-16:29:46,epc_1,-70,2xj6BqqmmTkptv2KxA,1,1573144186768,23.0,866900,182
23,2019-11-07-16:29:46,epc_39,-42,2xj6BqqmmTkptv2KxA,3,1573144186768,23.0,866300,182
24,2019-11-07-16:29:46,epc_28,-62,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
25,2019-11-07-16:29:46,epc_21,-56,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
26,2019-11-07-16:29:46,epc_34,-57,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
27,2019-11-07-16:29:46,epc_23,-49,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
28,2019-11-07-16:29:46,epc_11,-61,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
29,2019-11-07-16:29:46,epc_31,-49,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
30,2019-11-07-16:29:46,epc_26,-54,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
31,2019-11-07-16:29:46,epc_12,-44,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
32,2019-11-07-16:29:46,epc_14,-61,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
33,2019-11-07-16:29:46,epc_30,-43,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
34,2019-11-07-16:29:46,epc_36,-55,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
35,2019-11-07-16:29:46,epc_24,-53,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
36,2019-11-07-16:29:46,epc_2,-64,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
37,2019-11-07-16:29:46,epc_18,-43,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
38,2019-11-07-16:29:46,epc_22,-47,2xj6BqqmmTkptv2KxA,3,1573144186867,23.0,866300,83
39,2019-11-07-16:29:46,epc_6,-45,2xj6BqqmmTkptv2KxA,3,1573144186868,23.0,866300,82
40,2019-11-07-16:29:46,epc_33,-60,2xj6BqqmmTkptv2KxA,3,1573144186868,23.0,866300,82
41,2019-11-07-16:29:46,epc_32,-56,2xj6BqqmmTkptv2KxA,3,1573144186868,23.0,866300,82
42,2019-11-07-16:29:46,epc_17,-54,2xj6BqqmmTkptv2KxA,3,1573144186868,23.0,866300,82
43,2019-11-07-16:29:46,epc_5,-53,2xj6BqqmmTkptv2KxA,3,1573144186868,23.0,866300,82
44,2019-11-07-16:29:46,epc_1,-48,2xj6BqqmmTkptv2KxA,3,1573144186868,23.0,866300,82
45,2019-11-07-16:29:46,epc_37,-70,2xj6BqqmmTkptv2KxA,1,1573144186868,23.0,865700,82
48,2019-11-07-16:29:46,epc_7,-71,2xj6BqqmmTkptv2KxA,1,1573144186906,23.0,865700,44
49,2019-11-07-16:29:46,epc_25,-71,2xj6BqqmmTkptv2KxA,1,1573144186906,23.0,865700,44
50,2019-11-07-16:29:46,epc_28,-71,2xj6BqqmmTkptv2KxA,1,1573144186906,23.0,865700,44
51,2019-11-07-16:29:46,epc_31,-65,2xj6BqqmmTkptv2KxA,1,1573144186906,23.0,865700,44
53,2019-11-07-16:29:46,epc_1,-68,2xj6BqqmmTkptv2KxA,1,1573144186906,23.0,865700,44
58,2019-11-07-16:29:47,epc_7,-70,2xj6BqqmmTkptv2KxA,1,1573144186965,23.0,867500,185
59,2019-11-07-16:29:47,epc_1,-68,2xj6BqqmmTkptv2KxA,1,1573144186965,23.0,867500,185
60,2019-11-07-16:29:47,epc_31,-65,2xj6BqqmmTkptv2KxA,1,1573144186965,23.0,867500,185
65,2019-11-07-16:29:47,epc_31,-47,2xj6BqqmmTkptv2KxA,4,1573144186965,23.0,866900,185
66,2019-11-07-16:29:47,epc_26,-55,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
67,2019-11-07-16:29:47,epc_17,-48,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
68,2019-11-07-16:29:47,epc_0,-46,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
69,2019-11-07-16:29:47,epc_38,-55,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
70,2019-11-07-16:29:47,epc_16,-49,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
71,2019-11-07-16:29:47,epc_25,-60,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
72,2019-11-07-16:29:47,epc_1,-45,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
73,2019-11-07-16:29:47,epc_13,-61,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
74,2019-11-07-16:29:47,epc_34,-48,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
75,2019-11-07-16:29:47,epc_11,-47,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
76,2019-11-07-16:29:47,epc_22,-54,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
77,2019-11-07-16:29:47,epc_18,-47,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
78,2019-11-07-16:29:47,epc_7,-50,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
79,2019-11-07-16:29:47,epc_15,-54,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
80,2019-11-07-16:29:47,epc_28,-48,2xj6BqqmmTkptv2KxA,4,1573144187066,23.0,866900,84
