,LogTime,Epc,Rssi,Reader,Ant,TimeStamp,EmitPower,Frequency,Latency
0,2019-11-07-17:16:18,epc_134,-53,2xj6BqqmmTkptv2KxA,4,1573146977954,23.0,865700,196
1,2019-11-07-17:16:18,epc_45,-66,2xj6BqqmmTkptv2KxA,4,1573146977954,23.0,865700,196
2,2019-11-07-17:16:18,epc_49,-65,2xj6BqqmmTkptv2KxA,4,1573146977954,23.0,865700,196
3,2019-11-07-17:16:18,epc_91,-58,2xj6BqqmmTkptv2KxA,1,1573146978017,23.0,866900,133
4,2019-11-07-17:16:18,epc_92,-63,2xj6BqqmmTkptv2KxA,1,1573146978017,23.0,866900,133
5,2019-11-07-17:16:18,epc_90,-51,2xj6BqqmmTkptv2KxA,1,1573146978017,23.0,866900,133
6,2019-11-07-17:16:18,epc_104,-56,2xj6BqqmmTkptv2KxA,1,1573146978017,23.0,866900,133
7,2019-11-07-17:16:18,epc_103,-54,2xj6BqqmmTkptv2KxA,1,1573146978017,23.0,866900,133
8,2019-11-07-17:16:18,epc_99,-53,2xj6BqqmmTkptv2KxA,1,1573146978037,23.0,866900,113
9,2019-11-07-17:16:18,epc_100,-59,2xj6BqqmmTkptv2KxA,1,1573146978037,23.0,866900,113
10,2019-11-07-17:16:18,epc_95,-62,2xj6BqqmmTkptv2KxA,1,1573146978037,23.0,866900,113
11,2019-11-07-17:16:18,epc_93,-53,2xj6BqqmmTkptv2KxA,1,1573146978037,23.0,866900,113
12,2019-11-07-17:16:18,epc_98,-58,2xj6BqqmmTkptv2KxA,1,1573146978117,23.0,866300,33
13,2019-11-07-17:16:18,epc_94,-48,2xj6BqqmmTkptv2KxA,1,1573146978117,23.0,866300,33
14,2019-11-07-17:16:18,epc_104,-51,2xj6BqqmmTkptv2KxA,1,1573146978117,23.0,866300,33
15,2019-11-07-17:16:18,epc_99,-51,2xj6BqqmmTkptv2KxA,1,1573146978117,23.0,866300,33
16,2019-11-07-17:16:18,epc_93,-56,2xj6BqqmmTkptv2KxA,1,1573146978117,23.0,866300,33
17,2019-11-07-17:16:18,epc_90,-59,2xj6BqqmmTkptv2KxA,1,1573146978117,23.0,866300,33
18,2019-11-07-17:16:18,epc_101,-53,2xj6BqqmmTkptv2KxA,1,1573146978117,23.0,866300,33
19,2019-11-07-17:16:18,epc_96,-58,2xj6BqqmmTkptv2KxA,1,1573146978117,23.0,866300,33
20,2019-11-07-17:16:18,epc_102,-54,2xj6BqqmmTkptv2KxA,1,1573146978117,23.0,866300,33
21,2019-11-07-17:16:18,epc_135,-66,2xj6BqqmmTkptv2KxA,3,1573146978117,23.0,865700,33
22,2019-11-07-17:16:18,epc_133,-59,2xj6BqqmmTkptv2KxA,3,1573146978117,23.0,865700,33
23,2019-11-07-17:16:18,epc_136,-67,2xj6BqqmmTkptv2KxA,3,1573146978136,23.0,865700,14
24,2019-11-07-17:16:18,epc_73,-71,2xj6BqqmmTkptv2KxA,3,1573146978136,23.0,865700,14
25,2019-11-07-17:16:18,epc_130,-61,2xj6BqqmmTkptv2KxA,3,1573146978136,23.0,865700,14
26,2019-11-07-17:16:18,epc_97,-65,2xj6BqqmmTkptv2KxA,3,1573146978136,23.0,865700,14
27,2019-11-07-17:16:18,epc_100,-64,2xj6BqqmmTkptv2KxA,3,1573146978136,23.0,865700,14
28,2019-11-07-17:16:18,epc_134,-62,2xj6BqqmmTkptv2KxA,3,1573146978136,23.0,865700,14
29,2019-11-07-17:16:18,epc_97,-62,2xj6BqqmmTkptv2KxA,1,1573146978217,23.0,867500,133
30,2019-11-07-17:16:18,epc_101,-65,2xj6BqqmmTkptv2KxA,1,1573146978217,23.0,867500,133
31,2019-11-07-17:16:18,epc_102,-58,2xj6BqqmmTkptv2KxA,1,1573146978217,23.0,867500,133
32,2019-11-07-17:16:18,epc_105,-55,2xj6BqqmmTkptv2KxA,1,1573146978217,23.0,867500,133
33,2019-11-07-17:16:18,epc_100,-48,2xj6BqqmmTkptv2KxA,1,1573146978217,23.0,867500,133
34,2019-11-07-17:16:18,epc_92,-60,2xj6BqqmmTkptv2KxA,1,1573146978217,23.0,867500,133
35,2019-11-07-17:16:18,epc_91,-61,2xj6BqqmmTkptv2KxA,1,1573146978217,23.0,867500,133
36,2019-11-07-17:16:18,epc_104,-60,2xj6BqqmmTkptv2KxA,1,1573146978217,23.0,867500,133
