,LogTime,Epc,Rssi,Reader,Ant,TimeStamp,EmitPower,Frequency,Latency
0,2019-11-07-18:49:44,epc_129,-46,2xj6BqqmmTkptv2KxA,3,1573152584578,23.0,866900,172
1,2019-11-07-18:49:44,epc_108,-49,2xj6BqqmmTkptv2KxA,3,1573152584578,23.0,866900,172
2,2019-11-07-18:49:44,epc_120,-58,2xj6BqqmmTkptv2KxA,3,1573152584578,23.0,866900,172
3,2019-11-07-18:49:44,epc_3,-58,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
4,2019-11-07-18:49:44,epc_29,-58,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
5,2019-11-07-18:49:44,epc_106,-71,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
6,2019-11-07-18:49:44,epc_11,-62,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
7,2019-11-07-18:49:44,epc_34,-58,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
8,2019-11-07-18:49:44,epc_8,-57,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
9,2019-11-07-18:49:44,epc_5,-53,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
10,2019-11-07-18:49:44,epc_26,-62,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
11,2019-11-07-18:49:44,epc_16,-46,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
12,2019-11-07-18:49:44,epc_14,-64,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
13,2019-11-07-18:49:44,epc_25,-57,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
14,2019-11-07-18:49:44,epc_4,-65,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
15,2019-11-07-18:49:44,epc_32,-56,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
16,2019-11-07-18:49:44,epc_13,-56,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
17,2019-11-07-18:49:44,epc_31,-49,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
18,2019-11-07-18:49:44,epc_2,-47,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
19,2019-11-07-18:49:44,epc_35,-56,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
20,2019-11-07-18:49:44,epc_21,-52,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
21,2019-11-07-18:49:44,epc_15,-55,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
22,2019-11-07-18:49:44,epc_28,-54,2xj6BqqmmTkptv2KxA,1,1573152584578,23.0,866300,172
23,2019-11-07-18:49:44,epc_23,-53,2xj6BqqmmTkptv2KxA,1,1573152584603,23.0,866300,147
24,2019-11-07-18:49:44,epc_24,-56,2xj6BqqmmTkptv2KxA,1,1573152584603,23.0,866300,147
25,2019-11-07-18:49:44,epc_20,-49,2xj6BqqmmTkptv2KxA,1,1573152584603,23.0,866300,147
26,2019-11-07-18:49:44,epc_10,-56,2xj6BqqmmTkptv2KxA,1,1573152584603,23.0,866300,147
27,2019-11-07-18:49:44,epc_22,-54,2xj6BqqmmTkptv2KxA,1,1573152584603,23.0,866300,147
28,2019-11-07-18:49:44,epc_36,-63,2xj6BqqmmTkptv2KxA,1,1573152584603,23.0,866300,147
29,2019-11-07-18:49:44,epc_18,-49,2xj6BqqmmTkptv2KxA,1,1573152584700,23.0,865700,50
30,2019-11-07-18:49:44,epc_4,-52,2xj6BqqmmTkptv2KxA,1,1573152584700,23.0,865700,50
31,2019-11-07-18:49:44,epc_25,-47,2xj6BqqmmTkptv2KxA,1,1573152584700,23.0,865700,50
32,2019-11-07-18:49:44,epc_22,-45,2xj6BqqmmTkptv2KxA,1,1573152584700,23.0,865700,50
33,2019-11-07-18:49:44,epc_27,-68,2xj6BqqmmTkptv2KxA,1,1573152584700,23.0,865700,50
