,LogTime,Epc,Rssi,Reader,Ant,TimeStamp,EmitPower,Frequency,Latency
1,2019-11-07-18:13:30,epc_10,-67,2xj6BqqmmTkptv2KxA,4,1573150410579,23.0,865700,171
2,2019-11-07-18:13:30,epc_25,-49,2xj6BqqmmTkptv2KxA,1,1573150410599,23.0,866900,151
3,2019-11-07-18:13:30,epc_22,-55,2xj6BqqmmTkptv2KxA,1,1573150410599,23.0,866900,151
4,2019-11-07-18:13:30,epc_8,-59,2xj6BqqmmTkptv2KxA,1,1573150410599,23.0,866900,151
5,2019-11-07-18:13:30,epc_6,-45,2xj6BqqmmTkptv2KxA,1,1573150410599,23.0,866900,151
6,2019-11-07-18:13:30,epc_13,-56,2xj6BqqmmTkptv2KxA,1,1573150410599,23.0,866900,151
7,2019-11-07-18:13:30,epc_7,-53,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
8,2019-11-07-18:13:30,epc_18,-49,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
9,2019-11-07-18:13:30,epc_30,-51,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
10,2019-11-07-18:13:30,epc_26,-65,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
11,2019-11-07-18:13:30,epc_31,-44,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
12,2019-11-07-18:13:30,epc_34,-59,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
13,2019-11-07-18:13:30,epc_10,-46,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
14,2019-11-07-18:13:30,epc_14,-64,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
15,2019-11-07-18:13:30,epc_20,-59,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
16,2019-11-07-18:13:30,epc_39,-60,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
17,2019-11-07-18:13:30,epc_17,-58,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
18,2019-11-07-18:13:30,epc_38,-62,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
19,2019-11-07-18:13:30,epc_29,-62,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
20,2019-11-07-18:13:30,epc_11,-58,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
21,2019-11-07-18:13:30,epc_24,-67,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866900,50
22,2019-11-07-18:13:30,epc_36,-60,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866300,50
23,2019-11-07-18:13:30,epc_25,-58,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866300,50
24,2019-11-07-18:13:30,epc_2,-52,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866300,50
25,2019-11-07-18:13:30,epc_16,-53,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866300,50
26,2019-11-07-18:13:30,epc_35,-49,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866300,50
27,2019-11-07-18:13:30,epc_4,-62,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866300,50
28,2019-11-07-18:13:30,epc_1,-58,2xj6BqqmmTkptv2KxA,1,1573150410700,23.0,866300,50
29,2019-11-07-18:13:30,epc_17,-61,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
30,2019-11-07-18:13:30,epc_11,-59,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
31,2019-11-07-18:13:30,epc_30,-57,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
32,2019-11-07-18:13:30,epc_32,-59,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
33,2019-11-07-18:13:30,epc_19,-59,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
34,2019-11-07-18:13:30,epc_3,-52,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
35,2019-11-07-18:13:30,epc_5,-50,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
36,2019-11-07-18:13:30,epc_15,-56,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
37,2019-11-07-18:13:30,epc_18,-46,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
38,2019-11-07-18:13:30,epc_14,-70,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
39,2019-11-07-18:13:30,epc_6,-45,2xj6BqqmmTkptv2KxA,1,1573150410740,23.0,866300,10
40,2019-11-07-18:13:30,epc_78,-69,2xj6BqqmmTkptv2KxA,3,1573150410798,23.0,865700,152
41,2019-11-07-18:13:30,epc_33,-66,2xj6BqqmmTkptv2KxA,3,1573150410798,23.0,865700,152
42,2019-11-07-18:13:30,epc_29,-66,2xj6BqqmmTkptv2KxA,3,1573150410798,23.0,865700,152
43,2019-11-07-18:13:30,epc_25,-59,2xj6BqqmmTkptv2KxA,3,1573150410798,23.0,865700,152
44,2019-11-07-18:13:30,epc_62,-67,2xj6BqqmmTkptv2KxA,3,1573150410798,23.0,865700,152
45,2019-11-07-18:13:30,epc_72,-65,2xj6BqqmmTkptv2KxA,3,1573150410798,23.0,865700,152
46,2019-11-07-18:13:30,epc_82,-68,2xj6BqqmmTkptv2KxA,3,1573150410798,23.0,865700,152
47,2019-11-07-18:13:30,epc_8,-68,2xj6BqqmmTkptv2KxA,3,1573150410798,23.0,865700,152
48,2019-11-07-18:13:30,epc_88,-62,2xj6BqqmmTkptv2KxA,3,1573150410900,23.0,865700,50
49,2019-11-07-18:13:30,epc_84,-65,2xj6BqqmmTkptv2KxA,3,1573150410900,23.0,865700,50
50,2019-11-07-18:13:30,epc_64,-70,2xj6BqqmmTkptv2KxA,3,1573150410900,23.0,865700,50
51,2019-11-07-18:13:30,epc_20,-51,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
52,2019-11-07-18:13:30,epc_7,-63,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
53,2019-11-07-18:13:30,epc_0,-55,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
54,2019-11-07-18:13:30,epc_32,-57,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
55,2019-11-07-18:13:30,epc_39,-62,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
56,2019-11-07-18:13:30,epc_21,-54,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
57,2019-11-07-18:13:30,epc_31,-49,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
58,2019-11-07-18:13:30,epc_22,-59,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
59,2019-11-07-18:13:30,epc_6,-62,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
60,2019-11-07-18:13:30,epc_13,-63,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
61,2019-11-07-18:13:30,epc_29,-58,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
62,2019-11-07-18:13:30,epc_28,-57,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
63,2019-11-07-18:13:30,epc_10,-61,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
64,2019-11-07-18:13:30,epc_30,-51,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
65,2019-11-07-18:13:30,epc_14,-64,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
66,2019-11-07-18:13:30,epc_2,-45,2xj6BqqmmTkptv2KxA,1,1573150410900,23.0,867500,50
67,2019-11-07-18:13:31,epc_17,-49,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
68,2019-11-07-18:13:31,epc_15,-53,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
69,2019-11-07-18:13:31,epc_1,-44,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
70,2019-11-07-18:13:31,epc_13,-57,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
71,2019-11-07-18:13:31,epc_10,-60,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
72,2019-11-07-18:13:31,epc_25,-53,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
73,2019-11-07-18:13:31,epc_20,-60,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
74,2019-11-07-18:13:31,epc_36,-57,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
75,2019-11-07-18:13:31,epc_8,-51,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
76,2019-11-07-18:13:31,epc_18,-54,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
77,2019-11-07-18:13:31,epc_30,-48,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
78,2019-11-07-18:13:31,epc_7,-55,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
79,2019-11-07-18:13:31,epc_5,-58,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
80,2019-11-07-18:13:31,epc_29,-60,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
81,2019-11-07-18:13:31,epc_4,-55,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
82,2019-11-07-18:13:31,epc_16,-45,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
83,2019-11-07-18:13:31,epc_31,-51,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
84,2019-11-07-18:13:31,epc_2,-49,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
85,2019-11-07-18:13:31,epc_6,-51,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
86,2019-11-07-18:13:31,epc_22,-44,2xj6BqqmmTkptv2KxA,1,1573150410998,23.0,866900,152
87,2019-11-07-18:13:31,epc_30,-67,2xj6BqqmmTkptv2KxA,4,1573150410998,23.0,866300,152
90,2019-11-07-18:13:31,epc_76,-67,2xj6BqqmmTkptv2KxA,4,1573150411058,23.0,866300,92
91,2019-11-07-18:13:31,epc_57,-68,2xj6BqqmmTkptv2KxA,4,1573150411058,23.0,866300,92
94,2019-11-07-18:13:31,epc_10,-44,2xj6BqqmmTkptv2KxA,1,1573150411117,23.0,867500,33
95,2019-11-07-18:13:31,epc_7,-53,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
96,2019-11-07-18:13:31,epc_13,-56,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
97,2019-11-07-18:13:31,epc_18,-51,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
98,2019-11-07-18:13:31,epc_15,-61,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
99,2019-11-07-18:13:31,epc_6,-45,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
100,2019-11-07-18:13:31,epc_26,-66,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
101,2019-11-07-18:13:31,epc_11,-58,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
102,2019-11-07-18:13:31,epc_36,-60,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
103,2019-11-07-18:13:31,epc_22,-57,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
104,2019-11-07-18:13:31,epc_16,-57,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
105,2019-11-07-18:13:31,epc_31,-42,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
106,2019-11-07-18:13:31,epc_25,-48,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
107,2019-11-07-18:13:31,epc_3,-46,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
108,2019-11-07-18:13:31,epc_19,-54,2xj6BqqmmTkptv2KxA,1,1573150411180,23.0,867500,170
109,2019-11-07-18:13:31,epc_2,-52,2xj6BqqmmTkptv2KxA,1,1573150411218,23.0,866900,132
110,2019-11-07-18:13:31,epc_21,-55,2xj6BqqmmTkptv2KxA,1,1573150411218,23.0,866900,132
111,2019-11-07-18:13:31,epc_31,-64,2xj6BqqmmTkptv2KxA,1,1573150411218,23.0,866900,132
112,2019-11-07-18:13:31,epc_22,-54,2xj6BqqmmTkptv2KxA,1,1573150411218,23.0,866900,132
113,2019-11-07-18:13:31,epc_33,-64,2xj6BqqmmTkptv2KxA,1,1573150411218,23.0,866900,132
114,2019-11-07-18:13:31,epc_16,-52,2xj6BqqmmTkptv2KxA,1,1573150411218,23.0,866900,132
115,2019-11-07-18:13:31,epc_8,-57,2xj6BqqmmTkptv2KxA,1,1573150411218,23.0,866900,132
116,2019-11-07-18:13:31,epc_10,-60,2xj6BqqmmTkptv2KxA,1,1573150411218,23.0,866900,132
117,2019-11-07-18:13:31,epc_29,-62,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
118,2019-11-07-18:13:31,epc_38,-56,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
119,2019-11-07-18:13:31,epc_6,-46,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
120,2019-11-07-18:13:31,epc_35,-49,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
121,2019-11-07-18:13:31,epc_23,-60,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
122,2019-11-07-18:13:31,epc_30,-56,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
123,2019-11-07-18:13:31,epc_11,-59,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
124,2019-11-07-18:13:31,epc_3,-54,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
125,2019-11-07-18:13:31,epc_7,-63,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
126,2019-11-07-18:13:31,epc_19,-57,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
127,2019-11-07-18:13:31,epc_1,-56,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
128,2019-11-07-18:13:31,epc_18,-44,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
129,2019-11-07-18:13:31,epc_15,-56,2xj6BqqmmTkptv2KxA,1,1573150411318,23.0,866900,32
130,2019-11-07-18:13:31,epc_80,-66,2xj6BqqmmTkptv2KxA,3,1573150411318,23.0,866300,32
